email_body,label
"Congratulations! You've won a $1000 gift card. Click here to claim your prize: http://phishing.com",1
"Hey, just checking in on our project. Let me know your availability for a meeting.",0
"URGENT: Your account has been compromised. Please reset your password immediately: http://maliciouslink.com",1
"Reminder about our meeting tomorrow at 10 AM. See you there!",0
"Your invoice from ABC Corp is attached. Please review the document for payment details.",0
"Security Alert: Your account has been logged into from an unrecognized device. Click here to secure your account: http://phishingsite.com",1
"Important: Your bank account has been suspended due to suspicious activity. Click here to verify your identity: http://securebankverify.com",1
"You've received a package from Amazon. Click here to track your order: http://trackingamazon.com",1
"Urgent: Please review and complete the tax information we’ve requested to avoid penalties. Click here: http://taxfile-update.com",1
"Claim your reward! Congratulations! You've been selected for a free vacation. Secure your spot: http://freemaliciousvacation.com",1
"ALERT: Your Netflix account is on hold. Please update your payment method immediately here: http://netflixupdate.com",1
"Congratulations! You are the lucky winner of a $500 gift card! Redeem it here: http://luckywinnerprize.com",1
"Your PayPal account has been restricted. Resolve it now: http://paypal-secureverify.com",1
"Security Warning: Your email account has been accessed from an unknown device. Click here to lock your account: http://secureemailalert.com",1
"Can you please confirm the time for our meeting next week? I look forward to hearing from you.",0
"I've attached the report for our last project. Please review and provide feedback.",0
"Reminder: Team meeting at 2 PM tomorrow. Please be on time.",0
"Hope you had a great weekend! Let’s catch up about the new project during lunch tomorrow.",0
"The marketing team has shared the new guidelines for the campaign. Please review the attached document.",0
"Here’s the document I mentioned. Let me know your thoughts when you have time.",0
"Just checking in to see if you received the files I sent over last week.",0
"I’ve attached the presentation for Friday’s meeting. Let me know if you need any changes.",0
"Important: Your Facebook account was accessed from a new device. Secure it now: http://facebook-secure.com",1
"You’ve been selected for a limited-time free trial of our premium services! Click here to get started: http://premiumtrial.com",1
"Immediate Action Required: Your subscription to Netflix has been paused. Update your payment details here: http://netflixupdateaccount.com",1
"Your Apple ID has been locked. Please verify your account here: http://appleid-update.com",1
"Security Alert: Your Amazon account has been accessed by an unauthorized user. Please reset your password immediately: http://amazonsecurity-check.com",1
"URGENT: Your credit card has been flagged for suspicious transactions. Click here to review: http://credit-card-update.com",1
"Congratulations! You've been selected for a $500 shopping spree. Claim your prize now: http://shopping-spree.com",1
"Your account has been locked due to unusual activity. Click here to unlock your account: http://securelogin.com",1
"Claim your free gift card by filling out this short survey: http://freesurveygift.com",1
"You’ve won a free vacation to the Bahamas! Claim your prize by clicking here: http://vacationwinner.com",1
"ALERT: Someone tried to access your PayPal account from an unknown device. Secure your account now: http://paypalsecure.com",1
"Immediate action required: Your bank account has been flagged due to unusual activity. Click here to verify your account: http://bank-verify.com",1
"Congratulations! You've been selected for a $1000 shopping voucher. Claim your voucher here: http://claim-voucher.com",1
"Your Netflix account has been compromised. Reset your password here: http://netflixaccountsecurity.com",1
"Warning: Your email account is about to be suspended. Click here to prevent deactivation: http://emailsuspension.com",1
"Urgent: Your Instagram account was accessed from a new location. Click here to secure your account: http://instagram-security.com",1
"Important: Your Microsoft account has been suspended. Click here to restore it: http://microsoftaccount-recovery.com",1
"You’ve won a free iPhone! Click here to claim your prize: http://iphone-prize.com",1
"Urgent: Please verify your identity with the IRS immediately to avoid penalties. Click here: http://irs-identitycheck.com",1
"ALERT: Someone is attempting to change your account details. Click here to confirm your identity: http://account-change-alert.com",1
